Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Orgs (count),Reporting Orgs,Data Tickets
International HIV/AIDS Alliance,aa,16,1,2,1,1,60589,1,21020,0
ActionAid International,aai,15,0,11,11,0,33818,1,NL-KVK-27264198,0
ActionAid UK,aauk,35,0,1,1,0,63948,1,GB-CHC-274467,0
AbleChildAfrica,ablechildafrica,1,1,2,1,1,2772,1,GB-CHC-326859,0
Afghanistan and Central Asian Association,acaa,1,1,2,1,1,2688,1,GB-CHC-1096908,0
Agency for cooperation and research in development,acord,2,1,3,2,1,13177,1,GB-CHC-283302,0
ADD International,addinternational,7,1,2,1,1,38204,1,GB-COH-294860,0
ADRA-UK,adrauk,5,1,2,1,1,19898,1,GB-CHC-1074937,0
Africa Educational Trust,aet,1,0,1,1,0,7901,1,GB-CHC-313139,0
African Development Bank,afdb,572,1,55,54,1,2755989,1,46002,0
Afghanaid,afghanaid,2,0,1,1,0,5736,1,GB-CHC-105348,1
AfriKids,afrikids,1,0,1,1,0,1921,1,gb-chc-1093624,0
African Initiatives,ai_1064413,2,1,2,1,1,5476,1,GB-CHC-1064413,0
Aga Khan Foundation (United Kingdom),akfuk73,2,1,2,1,1,13949,1,GB-COH-1100897,0
Akvo Foundation,akvo,24,0,1,1,0,48398,1,NL-KVK-27327087,0
AMREF UK,amrefuk,2,1,2,1,1,12248,1,GB-CHC-261488,0
APT Action on Poverty,apt,2,1,3,2,1,27265,2,GB-CHC-290836;GB-CHC-290836				,0
Association for Reproductive and Family Health ,arfh,2,1,2,1,1,4079,1,NG-CAC-5938,0
Article19,art19,0,1,2,1,1,539,1,GB-CHC-327421,0
Asian Development Bank,asdb,2658,1,42,41,1,7865604,1,46004,0
Adam Smith International,asi,2,1,2,1,1,4183,2,GB-CH-2732166;GB-COH-2732176,1
Australian Agency for International Development,ausaid,1112,1,115,114,1,5310700,1,AU-5,0
Backward Society Education (BASE),base_22,2,0,1,1,0,1440,1,GB-1,0
BasicNeeds,basicneeds,5,1,6,5,1,26414,1,GB-CHC-1079599,1
Blue Ventures Conservation,blueventures,1,1,2,1,1,5488,1,GB-CC-1098893,0
Bill & Melinda Gates Foundation,bmgf,2880,1,2,1,1,7069593,1,DAC-1601,0
German Ministry for Economic Cooperation and Development,bmz,2400,1,2,1,1,5868214,1,DE-1,3
Bond,bond,2,1,2,1,1,17166,1,GB-CHC-1068839,1
BRAC International,bracintl,4,0,1,1,0,22063,1,NL-CCI-20081098 ,0
British Council,britishcouncil,2,1,2,1,1,5651,1,GB-CHC-209131,0
Build Africa,buildafrica,1,1,2,1,1,8182,1,GB-CHC-298316,0
Catholic Agency For Overseas Development,cafod,1093,0,64,64,0,7356944,1,GB-CHC-285776,0
Christian Aid,caid,396,0,5,5,0,547452,2,GB-CHC-1105851;GB-CHC-110858,2
Crown Agents Limited,cal,5,1,6,5,1,30598,1,GB-COH-03259922,0
Camfed International,camfed,3,0,3,3,0,31363,1,GB-CHC-1029161,1
Canon Collins Trust,canoncollinstrust,1,0,1,1,0,6925,1,GB-CHC-1102028,0
CDA Collaborative Learning Projects,cda,4,0,2,2,0,12248,1,US-IRS-562339052,0
CDC Group plc,cdc,578,1,3,2,1,606003,3,GB-2;GB-COH-038777;GB-COH-03877777,0
Cecily's Fund,cecily,0,1,2,1,1,1351,1,GB-CHC-CF,2
ChildHope UK ,childhopeuk,2,1,3,2,1,18898,1,GB-CHC-328434,0
Children in Crisis,cic,1,1,2,1,1,4055,1,GB-CHC-1020488,0
Climate Investment Funds,cif,115,0,36,36,0,344598,2,47134;47135,1
Centre for Indian Knowledge Systems,ciks,1,1,2,1,1,5792,1,ciks,0
CARE International UK,ciuk,53,0,2,2,0,88140,1,GB-CHC-292506,0
Coffey International Development,coffey,2,1,3,2,1,11025,1,GB-COH-3799145,0
Concern Worldwide UK,concernuk,2,1,3,2,1,16409,1,GB-CHC-1092236,0
Cord,cord,1,1,2,1,1,13611,1,GB-CHC-1070684,0
Cordaid,cordaid,1051,0,1,1,0,7875464,1,NL-KVK-41160054,0
Charity Projects Ltd (Comic Relief),cprojects,3,0,1,1,0,19736,1,GB-CHC-326568,0
Conciliation Resources,cr,2,0,1,1,0,17901,1,GB-CHC-1055436,0
The Child-to-Child Trust,ctc,1,1,2,1,1,4217,1,gb_chc_327654,0
Concern Universal ,cu,49,0,1,1,0,83302,1,GB-CHC-272465,0
CUAMM Trustees,cuammtrustees,1,0,1,1,0,5368,1,TN-TIN-102123727,0
DAI Europe,dai-e,2,1,2,1,1,8832,1,GB-COH-1858644,0
Danida - Danish Ministry of Foreigh Affairs,danida,2596,0,1,1,0,6286595,1,DK-1,0
Development Aid from People to People(DAPP) Malawi,dapp,1,0,1,1,0,5649,1,dm,0
Digital Campus,dc,2,1,3,2,1,7561,1,gb-coh-07629751,1
UK Department of Energy and Climate Change,deccadmin,14,1,2,1,1,53924,2,DECC;GB-4,2
"Foreign Affairs, Trade and Development Canada - Affaires étrangères, Commerce et Développement Canada",dfatd-maecd,2757,1,2,1,1,17305406,1,CA-3,0
"Department for International Development, United Kingdom",dfid,13016,1,127,126,1,74494001,1,GB-1,0
Developments In Literacy Trust UK,diltuk,1,0,1,1,0,4689,1,GB-CHC-1122924,0
Development Initiatives Poverty Research,dipr,23,1,2,1,1,156813,1,GB-COH-06368740,1
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,1,0,1,1,0,2137,1,IE-CHY-6410,0
UK Department of Health,doh,1,0,1,1,0,4094,1,GB-10,0
Disability Rights Fund,drf,1,1,2,1,1,6634,2,US-EIN-27-5026293;US-IRS-27-5026293,1
Desmond Tutu HIV Foundation,dthfxx12,3,1,2,1,1,8091,1,ZA-ROC-1999/05072/08,0
UK Department for Work and Pensions,dwp,1,0,1,1,0,2279,1,GB-9,0
European Commission - Humanitarian Aid & Civil Protection,ec-echo,1601,1,2,1,1,3335232,1,EU-4,0
European Commission - Enlargement,ec-elarg,810,1,11,10,1,3148417,1,EC-ELARG,0
European Commission – Service for Foreign Policy Instruments,ec-fpi,414,1,61,60,1,1489605,2,EC-FPI;EU,0
Emmanuel International UK,eiuk,1,1,2,1,1,4201,1,GB-CHC-289036,0
Ethical Trading Initiative,eti,8,0,1,1,0,6812,1,GB-COH-3578127,0
European Commission – Development and Cooperation-EuropeAid,eu,10051,1,143,142,1,36644751,1,EU,3
EveryChild,evc,2,0,1,1,0,10927,1,GB-CHC-1089879,0
Engineers Without Borders Canada,ewb_canada,6,0,1,1,0,27606,1,CA-CRA-89980-1815-RR0001,0
Farm Africa,fa,23,1,2,1,1,56265,1,GB-COH-01926828,0
UK Foreign & Commonwealth Office,fco,5905,0,6,6,0,7925854,1,GB-3,2
Freedom Forum,ff,2,0,1,1,0,2949,1,NP-DAO-27-127/062/063,0
Fauna & Flora International,ffi_publisher,1,0,1,1,0,2254,1,GB-COH-0277068,0
Futures Group Europe,fge,1,0,1,1,0,2674,1,GB-COH-3695538,0
"Finland, Ministry of Foreign Affairs",finland_mfa,5276,1,146,145,1,15656612,1,FI-3,1
Forests Monitor,fm,0,1,2,1,1,593,1,GB-COH-3008440,0
"Friends of the Earth England, Wales and Northern Ireland",foe_ewni,1,0,1,1,0,10239,1,GB-CHC-281681,0
The Foundation Center,foundation_center,992,0,1,1,0,1733301,1,US-EIN-131837418,0
France - Ministry of Foreign Affairs,france,52,0,1,1,0,282491,3,FR-3;FR-6;FR-99,1
Find Your Feet,fyf,2,1,2,1,1,23479,1,GB-CHC-250456,0
The Global Alliance for Improved Nutrition,gain,8,0,1,1,0,12454,1,30001,0
GAVI Alliance,gavi,1828,1,78,77,1,12992517,1,47122,2
British Red Cross,gb-cc-220949,6,0,6,6,0,21602,2,GB-CC-220949;gb-cc-220949,1
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,22,0,1,1,0,91777,1,GB-COH-03580586-GEC,0
Gender Links,gl,12,0,1,1,0,127715,1,ZA-CIPC-2001/005850/08,0
GlobalGiving.org,globalgiving,7207,4226,2,1,1,19935603,1,US-EIN-300108263,1
Global Integrity,globalintegrity,9,0,1,1,0,32284,1,US-EIN-26-0126537,1
GOAL,goal,1,0,1,1,0,3201,1,CHY6271,0
GRM International,grm,1,0,1,1,0,1337,1,GB-COH-2394229 ,1
Grow Movement,growmovement_admin,1,1,2,1,1,2726,2,GB-CHC-1139083;GrowMovement_admin,0
HelpAge International,helpage_international,10,1,2,1,1,89579,1,GB-COH-1762840,0
The William and Flora Hewlett Foundation,hewlett-foundation,1049,1,2,1,1,3034609,1,US-EIN-941655673,0
Habitat for Humanity Great Britain,hfhgb,1,0,1,1,0,8405,1,GB-CHC-1043641,0
Hope and Homes for Children,hhc,1,1,2,1,1,6954,1,GB-CHC-1089490,0
Homeless International,hi,10,1,6,5,1,19450,1,GB-CHC-1017255,0
Handicap International,hifed,1,1,2,1,1,4042,1,FR-PDR-W691075333,0
UK Home Office,hooda,2,0,1,1,0,7021,1,GB-6,1
HealthProm,hp_12,0,1,2,1,1,541,1,GB-COH-4887855,0
Health Poverty Action,hpa,4,1,5,4,1,22931,1,GB-CHC-1837621,1
Heifer International South Africa,hsa,1,1,2,1,1,11258,2, ZA-NPO-013484;IATI,1
HTSPE,htspe,2,1,3,2,1,7680,1,GB-CH-6407873,1
Hilfswerk Austria Zimbabwe,hwa-zm,1,1,2,1,1,3830,2,AT-LPD-035026724;ZW-ROD-000740,0
Inter-American Development Bank,iadb,944,1,28,27,1,8490406,1,IADB,1
ICA:UK,icauk,1,1,2,1,1,7930,1,GB-CC-1090745,1
InterClimate Network,icn,1,0,1,1,0,5888,1,ICN,1
Indigo Trust,indtrust,105,0,1,1,0,383251,1,GB-CHC-1075920,0
Integrity Action,integrity_action,16,1,2,1,1,17736,1,GB-COH-4884328,0
International Alert,international-alert,52,0,1,1,0,115067,1,GB-COH-2153193,0
International Planned Parenthood Federation,ippf,56,1,2,1,1,331660,1,GB-CHC-21023,0
International Rescue Committee UK,irc_uk,4,0,4,4,0,20017,1,GB-CHC-1065972,1
"Department of Foreign Affairs and Trade, Ireland",irishaid,0,1,1,0,1,16739,1,IE-1,0
Islamic Relief Worldwide,irw,2,0,1,1,0,70957,1,GB-CHC-328158,0
Interact Worldwide,iww_publish,4,0,4,4,0,11679,1,GB-CHC-1001698,0
Jeevika Trust,jeevika_trust,1,0,1,1,0,5529,1,GB-CHC-291167,0
Karuna Trust,karuna,1,0,1,1,0,2288,1,karuna_admin,1
I Choose Life Africa,ke-ngc-3372,1,1,2,1,1,3590,1,KE-NGC-3372,0
Leonard Cheshire Disability,lcd_admin,2,1,2,1,1,6018,1,GB-CHC-218186,0
Link Community Development Scotland,lcds,1,0,1,1,0,2235,1,GB-SC-037959,1
LEAD International,lead_international,1,0,1,1,0,2460,1,GB-COH-4075590,0
Lepra,lepra,1,0,1,1,0,4560,1,GB-CHC-213251,0
Living Earth Foundation,livingearth12,1,0,1,1,0,4031,1,GB-CHC-800672,0
"Ministry of Foreign Affairs and Cooperation, Spain",maec,36714,0,379,379,0,108846726,2,50;ES-5,0
Malaria Consortium,malariaconsortium,106,1,37,36,1,659363,1,GB-CHC-1099776,0
MAMTA-Health Institute for Mother and Child,mamta_himc,1,0,1,1,0,3285,1,IN-,2
Manx Times,manxtimes,37,0,1,1,0,61729,1,IM-CR-017899B,0
MapAction,mapaction,1,0,1,1,0,1792,1,mapaction,1
Mercy Corps Scotland,mcs,3,0,3,3,0,12166,1,GB-CHC-SC030289,1
New Zealand Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,mfat,71,0,1,1,0,3437606,1,NZ-1,0
MICAIA,mic-uk,1,0,1,1,0,1861,1,mic-uk,0
"Ministry of Foreign Affairs, The Netherlands",minbuza_nl,4052,1,2,1,1,27791801,1,NL-1,0
MicroLoan Foundation,mlf,0,0,1,1,0,120,0,,1
Motivation,motivation,2,0,1,1,0,13889,1,GB-CHC-1079358,0
Medical Research Council,mrc,167,0,1,1,0,458231,1,GB-COH-RC000346,1
"Medical Research Centre (MRC), Sierra Leone",mrc-sierra-leone,1,0,1,1,0,8397,1,SL-NRA-1001562-8,0
Methodist Relief and Development Fund,mrdf,2,0,2,2,0,24924,1,GB-CHC-291691,0
Marie Stopes International,msi,22,1,11,10,1,39283,2,GB-COH-1102208;MSI,0
Network for Africa,network4africa,2,0,2,2,0,18814,1,GB-CHC-112032,1
NGO Federation of Nepal,nfn,1,0,1,1,0,4021,1,NP-DAO-27-689/063/064,0
Norwegian Refugee Council,nrc,67,0,1,1,0,133303,1,NO-BRC-977538319,0
OCHA Financial Tracking Service,ocha_fts,13484,0,66,66,0,29493365,1,41127-FTS,0
Opportunity International UK,opportunity-international-uk,1,0,1,1,0,2157,1,GB-COH-05322719,0
Oxfam GB,oxfamgb,1907,0,69,69,0,6609550,1,GB-CHC-202918,0
Oxfam India,oxfamindia,1,1,2,1,1,5050,1,oxfam_india,0
Practical Action,pa,829,0,3,3,0,1441444,1,GB-COH-871954,1
Pact ,pact,73,2,4,2,2,134832,1,US-EIN-13-2702768,1
Peace Direct,pdorg,1,0,1,1,0,1552,1,GB-CHC-1123241,0
People In Aid,peopleinaid,1,0,1,1,0,35097,1,GB-CHC-1078768,0
Plan Ireland Charitable Assistance Limited,plan_ireland,1,1,2,1,1,2825,1,IE-CHY-15037,0
Plan International UK,plan_uk,26,0,2,2,0,86218,1,GB-COH-1364201,0
Plan International USA,plan_usa,11,0,11,11,0,38650,1,US-IRS-13-5661832,1
PONT,pont,1,0,1,1,0,3884,1,GB-CHC-1125948,0
Pontis Foundation,pontis,16,0,9,9,0,39413,1,pontis,0
Power International,power,1,1,2,1,1,6709,2,GB_CHC;GB_CHC-1059996,1
Pragya India,pragya,1,1,2,1,1,4751,1,IN-AR-775,0
Penal Reform International,pri,5,0,1,1,0,66822,2,GB-CH-04154075;GB-COH-04154075,0
Progressio,progressio,5,0,1,1,0,57539,1,GB-CHC-294329,1
Population Service International,psi,83,0,1,1,0,122481,1,21032,0
Publish What You Fund,pwyf,0,0,0,0,0,0,0,,0
Railway Children,rc,3,1,2,1,1,15807,1,GB-CHC-1058991,0
Resource Extraction Monitoring,rem,4,0,4,4,0,16659,1,GB-COH-4905100,0
Restless Development,restless,10,1,10,9,1,479930,1,GB-CHC-1127488,1
Rainforest Foundation UK,rfuk,1,1,2,1,1,35597,1,GB-CHC-1138287,0
Relief International UK,ri-uk,1,0,1,1,0,3772,1,GB-CHC-1098106,0
Royal Society for the Protection of Birds,rspb_,1,0,1,1,0,13015,1,GB-CHC-207076,0
Southern African Catholic Bishops' Conference Aids Office,sacbc,1,0,1,1,0,13354,1,ZA-DSD-061-870-NPO,0
Send a Cow Uganda,sacu,1,1,2,1,1,23833,1,sacu,0
Saferworld,saferworld,24,0,1,1,0,26384,1,GB-CHC-3015948,2
Scottish Catholic International Aid Fund (SCIAF),sciaf,1,1,2,1,1,11667,2,GB-OSCR-SC012302;SCIAF,1
Save the Children UK,scuk,180,1,38,37,1,1366824,1,GB-COH-213890,1
Swiss Agency for Development and Cooperation SDC,sdc_ch,1507,0,1,1,0,2975512,1,CH-4,1
Self Help Africa,self-help-africa,64,0,1,1,0,131599,1,IE-6663,3
Send a Cow,sendacow,3,1,3,2,1,15768,1,GB-CHC-299717,0
Sense International,sense_international,2,0,2,2,0,39091,1,GB-CHC-1076497,0
StreetInvest,si,2,1,2,1,1,2414,1,GB-CCH-1127206,0
Swedish International Development Cooperation Agency,sida,27357,1,158,157,1,402331103,3,SE-2;SE-6;SE-99,2
SOS Sahel International UK,sossaheluk,1,0,1,1,0,5321,1,GB-COH-2100867,0
SPARK,spark,37,19,2,1,1,178426,1,NL-KVK-41213450,0
Samaritan's Purse UK,spuk,2,1,2,1,1,17288,1,GB-CHC-1001349,0
Sightsavers,ss-org,1703,0,37,37,0,3690354,2,GB-CHC-207544;GB-GHC-207544,0
Stars Foundation,starsfoundation,1,1,2,1,1,8300,1,GB-CHC-1087997,0
Hivos,stichting_hivos,1521,0,1,1,0,5405691,1,NL-KVK-41198677,0
Street Child,street_child,0,1,1,0,1,445,1,GB-CHC-1128536,0
Survivors Fund (SURF),surf,1,0,1,1,0,9911,1,GB-CHC-1065705,0
The Asia Foundation,taf,89,0,10,10,0,212760,1,US-AGO-941191246,1
Trust for Africa's Orphans,tao-03473165,1,0,1,1,0,7118,1,GB-CHC-1069208,0
Target TB,targettb,2,1,2,1,1,16467,1,GB-CHC-1098752,0
TB Alert,tbalert,1,0,1,1,0,3473,1,GB-CHC-1071886,0
Tearfund,tearfund,9,0,5,5,0,36803,1,GB-CHC-265464,1
Theatre for a Change UK,tfac,0,1,1,0,1,838,1,GB-CHC-1104458,0
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",theglobalfund,1096,1,146,145,1,21248553,1,47045,4
The International Children's Trust,theict,1,0,1,1,0,26260,1,GB - CC  - 254781,1
The Leprosy Mission England and Wales,tlmew,1,1,2,1,1,10419,1,GB-CHC-1050327,0
Traidcraft Exchange,traidcraft,3,1,2,1,1,36512,1,GB-COH-3031674,0
Transparency International Secretariat,transparency-international,11,1,12,11,1,38630,1,21033,1
Triple Line & Crown Agents (Joint Venture),tripleline_crownagents,179,0,3,3,0,793551,1,GB-COH-03788027,0
Trocaire (Northern Ireland),troc,2,1,2,1,1,19663,1,GB-COH-NI21482,0
Twin,twin-iati,1,0,1,1,0,5624,1,GB-CHC-291824,1
United Nations Capital Development Fund,uncdf,181,0,1,1,0,193357,1,41111,1
